jy,jm,h,bench,old_top10,old_top10_exc,old_top20,old_top20_exc,new_top10,new_top10_exc,new_top20,new_top20_exc
1403,6,6,0.20785588530037513,0.2688866561775777,0.061030770877202545,0.30338337443941643,0.0955274891390413,0.25877124580865685,0.050915360508281715,0.32010126391653565,0.11224537861616052
1403,7,3,0.4198017925860791,0.4555660618643512,0.03576426927827214,0.4951969399801993,0.07539514739412023,0.4918826956338672,0.07208090304778814,0.4578098348526412,0.038008042266562125
1403,7,6,0.42132492836950536,0.5489490001130731,0.12762407174356777,0.6011394191529329,0.17981449078342754,0.517768459509249,0.09644353113974363,0.5908771550367687,0.16955222666726338
1403,8,3,0.18714400087206295,0.12240914136763777,-0.06473485950442519,0.20512773520506125,0.017983734332998297,0.15079974330953916,-0.036344257562523796,0.18636074455125481,-0.00078325632080814
1403,8,6,0.3883740179405142,0.3910696715300707,0.0026956535895565348,0.5062376035769535,0.11786358563643928,0.4218942323147755,0.03352021437426134,0.4871017512845309,0.09872773334401674
1403,9,3,-0.021556141642498073,-0.004877629775231052,0.016678511867267022,-0.007243835859972181,0.014312305782525892,-0.007955041805752894,0.013601099836745179,-0.015264388941388762,0.006291752701109311
1403,9,6,0.1782732786859164,0.2712899127839993,0.09301663409808289,0.1872843202433078,0.009011041557391408,0.25216098895805894,0.07388771027214255,0.209699090526945,0.031425811841028606
1403,10,3,-0.003727931762835361,0.03655081836686214,0.0402787501296975,0.02687395986061051,0.03060189162344587,0.12043558673168768,0.12416351849452303,0.04630614971324255,0.050034081476077914
1403,10,6,0.00520030324967099,0.07418410245875998,0.06898379920908898,0.03593641646702674,0.030736113217355754,0.10244373840820571,0.09724343515853472,0.06291465097435993,0.05771434772468894
1403,11,3,0.16387818650805666,0.2412240344688575,0.07734584796080085,0.21058698433804574,0.046708797829989074,0.2733459367319582,0.10946775022390151,0.2151898657838392,0.051311679275782535
1403,11,6,-0.05048825298378297,-0.013664329278812592,0.036823923704970375,-0.0050581924418576455,0.045430060541925325,0.011982747004494865,0.062470999988277834,0.022039652064907128,0.0725279050486901
1403,12,3,0.20529464103101655,0.328146040721397,0.12285139969038048,0.27913114440778247,0.07383650337676592,0.37305839732925894,0.1677637562982424,0.3026830724585506,0.09738843142753403
1403,12,6,0.023506653330177523,0.09087975396196499,0.06737310063178746,0.10089691993675291,0.07739026660657539,0.11360265818924682,0.0900960048590693,0.12146764421168839,0.09796099088151086
1404,1,3,0.00715665068628698,0.036707323183279204,0.029550672496992225,0.0767046449577002,0.06954799427141321,0.05422127531391222,0.04706462462762524,0.054634396209776684,0.047477745523489705
1404,1,6,0.10486325816323708,0.08249303096066117,-0.022370227202575907,0.13401737242485612,0.02915411426161904,0.07531122727624309,-0.029552030886993985,0.0981712661460029,-0.00669199201723418
1404,2,3,-0.18458556366742324,-0.1698138086389016,0.014771755028521627,-0.12767861062581762,0.05690695304160562,-0.13594531947182342,0.04864024419559981,-0.13304213093369105,0.051543432733732186
1404,2,6,0.035645585807884246,0.07459253258361756,0.038946946775733314,0.07998266421098352,0.04433707840309927,0.07896195310928679,0.04331636730140254,0.06554442011708699,0.02989883430920274
