jy,jm,factor,ic
1404,1,score_v1,0.3666666666666667
1404,1,score_v2,0.3666666666666667
1404,2,lev,0.7666666666666667
1404,2,cr,-0.7
1404,2,ic,0.644902021637024
1404,2,eq,0.08333333333333334
1404,2,score_v1,-0.26666666666666666
1404,2,score_v2,-0.5333333333333333
1404,3,lev,0.39999999999999997
1404,3,cr,-0.5333333333333333
1404,3,ic,0.1428571428571428
1404,3,eq,-0.5499999999999999
1404,3,score_v1,0.35
1404,3,score_v2,0.11666666666666665
1404,4,lev,0.5333333333333333
1404,4,cr,-0.6666666666666667
1404,4,ic,0.05241424183609589
1404,4,eq,-0.6333333333333333
1404,4,score_v1,0.6
1404,4,score_v2,0.38333333333333336
1404,5,roe,-0.06666666666666667
1404,5,lev,0.33333333333333337
1404,5,cr,-0.5666666666666667
1404,5,cc,-0.13333333333333333
1404,5,pb,-0.16666666666666669
1404,5,om12,0.48333333333333334
1404,5,nm12,-0.016666666666666666
1404,5,ic,-0.49999999999999983
1404,5,eq,-0.4666666666666666
1404,5,score_v1,0.8166666666666667
1404,5,score_v2,0.7166666666666667
1404,6,roe,0.33333333333333337
1404,6,lev,0.049999999999999996
1404,6,cr,-0.13333333333333333
1404,6,cc,-0.7166666666666667
1404,6,pb,0.33333333333333337
1404,6,om12,0.3666666666666667
1404,6,nm12,0.7333333333333334
1404,6,ic,-1.0
1404,6,eq,0.08333333333333334
1404,6,score_v1,0.3
1404,6,score_v2,0.39330888211518983
1404,7,roe,-0.06666666666666667
1404,7,lev,0.38333333333333336
1404,7,cr,-0.5333333333333333
1404,7,cc,-0.18333333333333335
1404,7,pb,0.0
1404,7,om12,0.0
1404,7,nm12,0.03333333333333333
1404,7,ic,0.07509392614826382
1404,7,eq,0.11666666666666665
1404,7,score_v1,0.11666666666666665
1404,7,score_v2,0.08333333333333334
1404,8,roe,-0.4103817413734372
1404,8,lev,0.03333333333333333
1404,8,cr,-0.16666666666666669
1404,8,cc,0.3082581201150501
1404,8,pb,-0.2557141223681666
1404,8,om12,0.6660374905418741
1404,8,nm12,0.4322839481882355
1404,8,eq,-0.08333333333333334
1404,8,score_v1,-0.09999999999999999
1404,8,score_v2,-0.13333333333333333
1404,9,roe,-0.4815434123430768
1404,9,lev,-0.016666666666666666
1404,9,cr,-0.13333333333333333
1404,9,cc,0.4238802979719519
1404,9,pb,-0.5097796189288659
1404,9,om12,0.6199643274591036
1404,9,nm12,0.26771186867552194
1404,9,eq,0.03333333333333333
1404,9,score_v1,0.049999999999999996
1404,9,score_v2,-0.09999999999999999
1404,10,roe,0.11704114719613055
1404,10,lev,-0.049999999999999996
1404,10,cr,-0.13333333333333333
1404,10,cc,0.5657057699811663
1404,10,pb,-0.02507061052819503
1404,10,om12,0.5684931506849314
1404,10,nm12,0.24657534246575338
1404,10,eq,-0.21666666666666667
1404,10,score_v1,-0.016666666666666666
1404,10,score_v2,0.049999999999999996
1404,11,roe,0.585205735980653
1404,11,lev,0.13333333333333333
1404,11,cr,-0.31666666666666665
1404,11,cc,-0.03571428571428572
1404,11,pb,0.5714285714285715
1404,11,om12,0.06401843996644799
1404,11,nm12,-0.1463014339951632
1404,11,ic,0.5
1404,11,eq,-0.016666666666666666
1404,11,score_v1,0.26666666666666666
1404,11,score_v2,0.19999999999999998
1404,12,roe,0.6061643835616438
1404,12,lev,0.8333333333333333
1404,12,cr,-0.8499999999999999
1404,12,cc,0.20482200759322847
1404,12,pb,0.6144660227796856
1404,12,om12,-0.7492791655379686
1404,12,nm12,-0.37671232876712324
1404,12,ic,-0.5447047794019222
1404,12,eq,0.06666666666666667
1404,12,score_v1,-0.08333333333333334
1404,12,score_v2,-0.03333333333333333
