jy,jm,h,bench,score_v1_top5,score_v1_top5_exc,score_v2_top5,score_v2_top5_exc
1403,12,3,0.29292995154913126,0.4072323576053531,0.11430240605622183,0.43137998989699683,0.13845003834786557
1403,12,6,0.1989301805696902,0.2680528531008334,0.06912267253114318,0.3650716891630961,0.16614150859340593
1404,1,3,0.07470593655397391,0.14058115574145252,0.06587521918747861,0.14058115574145252,0.06587521918747861
1404,1,6,0.36801327022227226,0.5167403913445279,0.1487271211222556,0.5167403913445279,0.1487271211222556
1404,2,3,-0.13796049945045472,-0.18836712700457542,-0.0504066275541207,-0.18836712700457542,-0.0504066275541207
1404,2,6,0.2210708242990229,0.18882823967761636,-0.03224258462140653,0.18882823967761636,-0.03224258462140653
1404,3,3,-0.07371456031109665,-0.1064896745302754,-0.03277511421917875,-0.1064896745302754,-0.03277511421917875
1404,3,6,0.46811678677023294,0.4155476363353513,-0.05256915043488164,0.4155476363353513,-0.05256915043488164
1404,4,3,0.26729809373404834,0.3351966882753628,0.06789859454131447,0.3351966882753628,0.06789859454131447
1404,4,6,0.8460809145568109,0.9310903088643625,0.08500939430755161,0.9310903088643625,0.08500939430755161
1404,5,3,0.41105485816078857,0.5332659302772983,0.12221107211650972,0.5332659302772983,0.12221107211650972
1404,5,6,0.8099698423179462,0.8454476808127291,0.03547783849478292,0.8454476808127291,0.03547783849478292
1404,6,3,0.5838137742078414,0.5835159655496218,-0.00029780865821960045,0.6578552890168521,0.07404151480901067
1404,6,6,0.7408431475818488,0.5826046229110821,-0.1582385246707667,0.6709502888730265,-0.06989285870882223
1404,7,3,0.4446494465389421,0.4268386055216425,-0.017810841017299628,0.4268386055216425,-0.017810841017299628
1404,7,6,0.3699731247335463,0.2679503705611465,-0.10202275417239981,0.2679503705611465,-0.10202275417239981
1404,8,3,0.2834969177584616,0.25645386374406165,-0.027043054014399937,0.25645386374406165,-0.027043054014399937
1404,8,6,0.3654374048626572,0.3411545851768106,-0.024282819685846613,0.3411545851768106,-0.024282819685846613
1404,9,3,0.12992164007571183,0.054857985318233674,-0.07506365475747816,0.054857985318233674,-0.07506365475747816
1404,9,6,1.0170999136626078,0.9012858020815606,-0.11581411158104715,0.9012858020815606,-0.11581411158104715
1404,10,3,-0.034901519133951675,-0.08881159930111826,-0.053910080167166585,-0.07457964508189847,-0.0396781259479468
1404,10,6,1.150059955841576,0.8834569071786428,-0.2666030486629333,1.0617957469988557,-0.08826420884272035
1404,11,3,0.05309297538861451,0.08577941938187003,0.03268644399325552,0.04153760416907133,-0.011555371219543177
1404,11,6,1.748123595521785,1.7838449571012245,0.03572136157943939,1.7963815274270178,0.048257931905232754
1404,12,3,0.7746691730856119,0.7142502095160402,-0.06041896356957166,0.7131553617612061,-0.06151381132440581
1404,12,6,1.746991764214239,2.0941152930938274,0.3471235288795884,1.7590624457850375,0.012070681570798492
