jy,jm,cid,symbol,sg12,sg3,rg,opg,npg,om,nm,mt,ic,eq,pe,ps,liq,stability,vol,mom,growth_s,prof_s,val_s,mkt_s,dq,score,ttm_np,pe_invalid,fwd3,fwd6,fwd12
1403,3,d01ad6f1e6afd1225f55ef45468e0c84,دارو,-8.170454886840195,74.14606189245241,,0.0,-57.41133676871779,,,,,,0.498932384341637,,0.0,0.545964899433065,1.3352856194230136,-29.829829829829833,10.010215512616647,6.5,9.384615384615385,5.754107981220658,1.0,31.64893887845269,3653000000.0,False,-0.0670470756062771,0.18972895863052752,0.6504992867332371
1403,3,d07ff5df6784e3a6d9d9eabdb65794ba,فولاد,43.906439805280286,21.7532117469704,,0.0,36.080960854092524,,,,,,1.8932038834951457,,0.0,0.8595212971340072,1.5219234887569792,-9.187129551227768,19.44085070718326,6.5,6.846153846153847,9.41050469483568,1.0,42.197509248172786,1223640000000.0,False,-0.03403263403263379,0.33053613053613096,0.11701631701631676
1403,3,d108002c1966bd34137074461c1193bc,دبالک,58.54512609040934,-30.820252665081316,,0.0,48.26049862546213,,,,,,10.635294117647058,,0.0,0.706636609515939,1.9562305514802414,-28.111332007952285,19.267271683634853,6.5,1.6153846153846152,4.7643779342723,1.0,32.14703423329177,312800000.0,False,-0.04120575221239042,0.029590707964600726,-0.14131637168141664
1403,3,d481c7823a747032cbe08b189a6f03c0,زاگرس,15.928717059642361,31.088068425380033,,0.0,-61.68032786885246,,,,,,15.379084967320262,,0.0,0.6524556881706135,1.177701194128114,-26.28935952080347,10.860407574076314,6.5,0.9999999999999998,6.507629107981221,1.0,24.868036682057532,12117600000.0,False,0.24677716390423554,0.44618733016522993,0.047895014745843456
1403,3,d4ba95c595b08e7a8441a997f29f4427,دکپسول,35.71543334130472,37.30649491437479,,0.0,24.068643423482133,,,,,,5.063293355510812,,0.0,0.8087930401629744,2.014436631664507,-23.408594319009467,18.35303130062533,6.5,3.615384615384616,6.030223004694836,1.0,34.49863892070478,3426900000.0,False,0.25016425187592906,0.3998582246965665,0.9857878903143262
1403,3,d591b0ffa863888077d0146ba8cd4e66,غمهرا,46.680263431709015,-10.63212138669316,,53.83538564409945,57.415320479416366,,,,,,3.268008474576271,,0.0,0.8032401226238208,1.4711024710839027,-2.4968394437420938,23.700956379703925,6.5,5.538461538461538,9.923708920187794,1.0,45.66312683835326,3020800000.0,False,0.28784440842787684,0.5714748784440837,1.0479740680713103
1403,3,d5d20f20215dafb1d4d773897c34e2b5,شدوص,71.85265289087191,34.51089543653918,,0.0,135.5768989156857,,,,,,4.857328145265888,,0.0,0.8074316108964155,2.1160573906055116,8.2995951417004,25.73822122806878,6.5,3.9230769230769234,8.404342723004696,1.0,44.5656408741504,4312588500.0,False,0.29933244325767716,0.586648865153538,0.3289719626168215
1403,3,d9386a2d4a04ecbff28884606d66eda3,بشهاب,27.11587028460123,-39.5638318626096,,0.0,45.79123805047432,,,,,,1.9460343417825021,,0.0,0.6211687195592439,1.1794659881971263,-20.982735723771583,14.66002345115698,6.5,6.692307692307693,6.714495305164319,1.0,34.566826448628994,1712200000.0,False,0.12731092436974856,0.4899159663865549,0.4621848739495815
1403,3,dd5d864e79f2bd6bd432e4b67295eda0,غبشهر,-16.669663190612916,-24.99472773739635,,0.0,-3.883286848315812,,,,,,13.1484375,,0.0,0.7895465492523072,2.0545393398124183,-11.280969952556664,8.28938194732503,6.5,1.3846153846153841,6.879401408450704,1.0,23.053398740391117,4480000000.0,False,0.017231134878193943,0.0825906120023765,0.40047534165181164
1403,3,dec2e66cbc6ff178a8ee0240a9fc017e,کپشیر,51.52717364448962,-9.669806054214124,,0.0,141.1630558722919,,,,,,1.6070921985815603,,0.0,0.7743598615271796,1.2605154325795513,-9.792993630573243,22.377665270452198,6.5,7.384615384615385,9.06338028169014,1.0,45.32566093675773,3172500000.0,False,-0.04707266843189184,0.45189761694616015,0.8576051779935265
