jy,jm,h,n,bench,top10,top10_excess,top20,top20_excess
1402,5,3,137,0.04182447225677848,0.04524520908420443,0.003420736827425948,0.04545040120593152,0.0036259289491530414
1402,5,6,137,0.09517602787495162,0.11643127019308515,0.021255242318133527,0.11777405188644904,0.022598024011497422
1402,5,12,137,0.0445252247677281,0.2547579283038958,0.21023270353616771,0.16607901255047075,0.12155378778274264
1402,6,3,140,0.03189742890265691,0.04766291066781728,0.01576548176516037,0.046536260198882996,0.014638831296226083
1402,6,6,140,0.03683209441078254,0.08579295754593083,0.04896086313514829,0.06778491588783947,0.030952821477056927
1402,6,12,140,0.029340225087180448,0.22622137787349547,0.19688115278631502,0.13763280967937402,0.10829258459219357
1402,7,3,140,0.06019645013731298,0.07221906512036702,0.012022614983054042,0.08871534679920334,0.028518896661890364
1402,7,6,140,0.059275167800870235,0.02484587325288906,-0.034429294547981174,0.0548537592184443,-0.0044214085824259355
1402,7,12,140,0.025079536759970905,0.09457466936628653,0.06949513260631562,0.14936074004019778,0.12428120328022688
1402,8,3,140,0.0487148292353992,0.026555978729734343,-0.022158850505664858,0.05452229147940783,0.005807462244008632
1402,8,6,140,0.0049018573879333486,-0.008784448589748228,-0.013686305977681577,-0.016976150764925334,-0.02187800815285868
1402,8,12,140,0.15613486369470964,0.3143719005160143,0.1582370368213047,0.2698269450425628,0.11369208134785319
1402,9,3,140,0.0042337981441058796,0.0076476708265777685,0.003413872682471889,0.02912840185171276,0.02489460370760688
1402,9,6,140,-0.10409490949167957,-0.06758707996484142,0.03650782952683815,-0.0622923220220874,0.04180258746959217
1402,9,12,140,0.22314600025299486,0.38876726558607316,0.1656212653330783,0.38338936158829234,0.16024336133529749
1402,10,3,140,-0.0016669911192327518,-0.026373172759279372,-0.02470618164004662,0.01611302119230021,0.01778001231153296
1402,10,6,140,-0.016803317766224735,0.06628627298833309,0.08308959075455782,0.08111781339240584,0.09792113115863058
1402,10,12,140,0.3684678985960936,0.6908506176771172,0.3223827190810236,0.6016166322339631,0.23314873363786953
1402,11,3,140,-0.040724856310754835,-0.024094868530773174,0.01662998777998166,-0.0038137216070921244,0.03691113470366271
1402,11,6,140,-0.06078916089914096,0.06497057613133822,0.12575973703047919,0.09229034583237239,0.15307950673151335
1402,11,12,140,0.31147664042830353,0.537289606382326,0.2258129659540225,0.5256164961271902,0.21413985569888666
1402,12,3,143,-0.11153590366446237,-0.02188847585801864,0.08964742780644372,-0.054125394747621236,0.05741050891684113
1402,12,6,143,-0.026912747384728854,0.1615971321505271,0.18850987953525594,0.11735586791232996,0.1442686152970588
1402,12,12,143,0.19252982724463097,0.3439196017742021,0.15138977452957114,0.40052300698693555,0.20799317974230458
1403,1,3,144,-0.022556747951416586,0.09195145395598792,0.1145082019074045,0.11540089074447626,0.13795763869589284
1403,1,6,144,-0.047436050166396765,0.10588251890400893,0.1533185690704057,0.13096632524205,0.17840237540844678
1403,1,12,144,0.36680299093200536,0.697803380267762,0.33100038933575665,0.7311134375442208,0.3643104466122154
1403,2,3,144,-0.029297686520309334,0.16205962417071113,0.19135731069102047,0.14540321026730987,0.17470089678761921
1403,2,6,144,0.13584122150370942,0.27618255271930553,0.1403413312155961,0.29550165909605575,0.15966043759234633
1403,2,12,144,0.5969650763005565,1.0704622786844513,0.4734972023838948,0.9468070803611713,0.34984200406061483
1403,3,3,144,0.09310554041811256,0.23096714092698023,0.13786160050886767,0.24356194121886848,0.15045640080075592
1403,3,6,144,0.3474874168758723,0.4520703549306465,0.1045829380547742,0.47578423575906836,0.12829681888319605
1403,3,12,143,0.6139869233740674,0.8658804125764676,0.2518934892024003,0.9461328524217698,0.33214592904770246
1403,4,3,144,-0.02860952863816821,-0.027131697031026823,0.0014778316071413881,-0.02675776322347203,0.001851765414696182
